"location","variable","Unit","Date","Value"
"Lithuania","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2007 12:00:00 AM",12.69557454
"Latvia","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2013 12:00:00 AM",22.04537152
"Latvia","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2012 12:00:00 AM",15.82195544
"Latvia","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2011 12:00:00 AM",9.54960126
"Latvia","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2010 12:00:00 AM",11.04988761
"Latvia","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2009 12:00:00 AM",14.91239324
"Latvia","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2008 12:00:00 AM",19.45508914
"Latvia","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2005 12:00:00 AM",32.36726839
"Latvia","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2003 12:00:00 AM",13.33170147
"Latvia","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2004 12:00:00 AM",28.70244994
"Latvia","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2006 12:00:00 AM",14.92701011
"Latvia","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2007 12:00:00 AM",21.22596563
"Norway","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2013 12:00:00 AM",49.57690081
"Norway","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2012 12:00:00 AM",52.56439138
"Norway","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2011 12:00:00 AM",53.82549374
"Norway","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2010 12:00:00 AM",50.04854586
"Norway","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2009 12:00:00 AM",49.83839745
"Norway","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2008 12:00:00 AM",48.05415217
"Norway","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2005 12:00:00 AM",42.38398681
"Norway","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2003 12:00:00 AM",43.77180504
"Norway","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2004 12:00:00 AM",42.54165464
"Norway","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2006 12:00:00 AM",46.60537859
"Norway","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2007 12:00:00 AM",47.34086268
"Sweden","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2013 12:00:00 AM",190.04075287
"Sweden","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2012 12:00:00 AM",182.49846262
"Sweden","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2011 12:00:00 AM",185.42771616
"Sweden","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2010 12:00:00 AM",187.12901542
"Sweden","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2009 12:00:00 AM",172.26092191
"Sweden","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2008 12:00:00 AM",158.94637547
"Sweden","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2005 12:00:00 AM",129.6875815
"Sweden","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2003 12:00:00 AM",113.42293693
"Sweden","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2004 12:00:00 AM",116.0079374
"Sweden","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2006 12:00:00 AM",133.63511157
"Sweden","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2007 12:00:00 AM",137.16330819
"Kosovo under UNSCR 1244","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2013 12:00:00 AM",11.25718999
"Kosovo under UNSCR 1244","Total sexual violence at the national level, rate per 100,000 population","Rate per 100,000 population","1/1/2012 12:00:00 AM",8.92988894
