"AGE","GEO","SEX","TIME","VALUE","FLAGS","FOOTNOTES"
"Y_GE85","EL","M","2011","85291","",""
"Y30-49","EL","M","2011","1608654","",""
"Y30-49","EL","F","2011","1607745","",""
"Y65-84","EL","M","2011","844534","",""
"Y_LT15","EL","F","2011","766261","",""
"Y30-49","EL","T","2011","3216399","",""
"Y50-64","EL","M","2011","978607","",""
"TOTAL","EL","M","2011","5303223","",""
"Y15-29","EL","T","2011","1904144","",""
"Y15-29","EL","F","2011","921014","",""
"Y50-64","EL","F","2011","1039016","",""
"Y15-29","BE","M","2011","1027482","",""
"Y65-84","BE","M","2011","722728","",""
"TOTAL","BE","F","2011","5598920","",""
"TOTAL","BE","M","2011","5401718","",""
"Y50-64","BE","M","2011","1062012","",""
"Y65-84","BE","F","2011","912227","",""
"Y65-84","BE","T","2011","1634955","",""
"TOTAL","BE","T","2011","11000638","",""
"Y50-64","BE","F","2011","1072463","",""
"Y_LT15","BE","M","2011","954482","",""
"Y_GE85","BE","T","2011","248225","",""
"Y30-49","BE","F","2011","1521302","",""
"Y_LT15","BE","T","2011","1867297","",""
"Y_GE85","BE","M","2011","74114","",""
"Y50-64","BE","T","2011","2134475","",""
"Y_LT15","BE","F","2011","912815","",""
"Y15-29","BE","F","2011","1006002","",""
"Y30-49","BE","M","2011","1560900","",""
"Y_GE85","BE","F","2011","174111","",""
"Y15-29","BE","T","2011","2033484","",""
"Y30-49","BE","T","2011","3082202","",""
"Y_GE85","CH","M","2011","57785","",""
"TOTAL","CH","M","2011","3922253","",""
"Y50-64","CH","T","2011","1539406","",""
"Y65-84","CH","F","2011","648037","",""
"Y30-49","CH","M","2011","1202150","",""
"TOTAL","CH","T","2011","7954662","",""
"Y_LT15","CH","T","2011","1194649","",""
"Y65-84","CH","M","2011","532313","",""
"Y50-64","CH","F","2011","768622","",""
"Y50-64","CH","M","2011","770784","",""
"Y65-84","CH","T","2011","1180350","",""
"Y30-49","CH","F","2011","1186005","",""
"TOTAL","CH","F","2011","4032409","",""
"Y_GE85","CH","T","2011","184802","",""
"Y_LT15","CH","M","2011","613414","",""
"Y15-29","CH","M","2011","745807","",""
"Y_LT15","CH","F","2011","581235","",""
"Y15-29","CH","F","2011","721493","",""
"Y_GE85","CH","F","2011","127017","",""
"Y30-49","CH","T","2011","2388155","",""
"Y15-29","CH","T","2011","1467300","",""
"TOTAL","IE","M","2011","2270506","",""
"Y_LT15","IE","T","2011","976716","",""
"Y65-84","IE","T","2011","473321","",""
